Bucket Name	Permission
adviser.db.credential.files	No Bucket Policy
advisor.db.export	No Bucket Policy
afg-brand	No Bucket Policy
aicd	No Bucket Policy
aicd-events	No Bucket Policy
anubis.export	No Bucket Policy
anubisdbbackup	No Bucket Policy
apm-disability-index	No Bucket Policy
apm-em	No Bucket Policy
assets-coredata.retool.com	Publicly Readable (Read-Only)
assets.coredataexchange.com.au	Publicly Readable (Read-Only)
assets.coredataresearch.com	Publicly Readable (Read-Only)
aws-logs-530470303341-ap-southeast-2	No Bucket Policy
cbus-focusgroups	No Bucket Policy
cfs.coredataresearch.com.au	Publicly Readable (Read-Only)
challenger-focus-groups	No Bucket Policy
city-of-perth	No Bucket Policy
conexus-financial	No Bucket Policy
coredata-boston-terraform-state-stage	No Bucket Policy
coredata-london-terraform-state-stage	No Bucket Policy
coredata-ness-database	No Bucket Policy
coredata-rds-and-aurora-final-snapshots	No Bucket Policy
coredata-scraping	No Bucket Policy
coredata-sydney-terraform-state-stage	No Bucket Policy
coredata-transcription	No Bucket Policy
coredataexchange.com	Publicly Readable (Read-Only)
coredataexchange.com.au	Publicly Readable (Read-Only)
dataintegritysynergy	No Bucket Policy
devops-coredataresearch	No Bucket Policy
elasticbeanstalk-ap-southeast-2-530470303341	Not Publicly Readable
equipsuper	No Bucket Policy
etl-awsglue	No Bucket Policy
fair-go-finance	No Bucket Policy
fidelity-focusgroup	No Bucket Policy
hb-database	No Bucket Policy
hesta-pension-research-focus-group	No Bucket Policy
hif	No Bucket Policy
horizon-power	No Bucket Policy
horizon-power-ll	No Bucket Policy
ingeus	No Bucket Policy
juniper-cx	No Bucket Policy
keystart	No Bucket Policy
library.coredataexchange.com.au	Publicly Readable (Read-Only)
mahlab	No Bucket Policy
mark-brackenrig-files	No Bucket Policy
mine-super-transfer	No Bucket Policy
mining-team	No Bucket Policy
misc-bucket-data-science	No Bucket Policy
mswa	No Bucket Policy
mswa-csat	No Bucket Policy
mswa-csat-thinkfield	No Bucket Policy
mswa-rfds	No Bucket Policy
mswa-staff	No Bucket Policy
opencorp-interviews	No Bucket Policy
royhill-employee	No Bucket Policy
stateplus	No Bucket Policy
stateplusrecordings	No Bucket Policy
synergy-focusgroups	No Bucket Policy
synergy-segmentation	No Bucket Policy
test-bucket-03-06-2	No Bucket Policy
test-library.coredataexchange.com.au	Publicly Readable (Read-Only)
test-training-bucket-2	No Bucket Policy
test.coredataexchange.com.au	Not Publicly Readable
test.coredataresearch.com	Publicly Readable (Read-Only)
testbucket3returnofthebucket	No Bucket Policy
testnm	No Bucket Policy
thinkfield	No Bucket Policy
wa-bucket-lt	No Bucket Policy
wa-capricorn	No Bucket Policy
wa-capricorn-analytics-data	No Bucket Policy
wa-super	No Bucket Policy
weleda2021	No Bucket Policy
www.anubisdata.com	Publicly Readable (Read-Only)
www.coredata.com.au	Publicly Readable (Read-Only)
www.coredataresearch.co.uk	Publicly Readable (Read-Only)
www.coredataresearch.com	Publicly Readable (Read-Only)
