BucketName	PublicAccessBlock	HasBucketPolicy
adviser.db.credential.files	SET	False
advisor.db.export	SET	False
afg-brand	SET	False
aicd	SET	False
aicd-events	SET	False
anubis.export	SET	False
anubisdbbackup	SET	False
apm-disability-index	SET	False
apm-em	NOT SET	False
assets-coredata.retool.com	SET	True
assets.coredataexchange.com.au	SET	True
assets.coredataresearch.com	SET	True
aws-logs-530470303341-ap-southeast-2	NOT SET	False
cbus-focusgroups	SET	False
cfs.coredataresearch.com.au	SET	True
challenger-focus-groups	NOT SET	False
city-of-perth	SET	False
conexus-financial	SET	False
coredata-boston-terraform-state-stage	SET	False
coredata-london-terraform-state-stage	SET	False
coredata-ness-database	NOT SET	False
coredata-rds-and-aurora-final-snapshots	SET	False
coredata-scraping	SET	False
coredata-sydney-terraform-state-stage	SET	False
coredata-transcription	NOT SET	False
coredataexchange.com	SET	True
coredataexchange.com.au	SET	True
dataintegritysynergy	SET	False
devops-coredataresearch	SET	False
elasticbeanstalk-ap-southeast-2-530470303341	NOT SET	True
equipsuper	SET	False
etl-awsglue	SET	False
fair-go-finance	NOT SET	False
fidelity-focusgroup	SET	False
hb-database	SET	False
hesta-pension-research-focus-group	NOT SET	False
hif	SET	False
horizon-power	SET	False
horizon-power-ll	SET	False
ingeus	SET	False
juniper-cx	SET	False
keystart	SET	False
library.coredataexchange.com.au	SET	True
mahlab	SET	False
mark-brackenrig-files	NOT SET	False
mine-super-transfer	NOT SET	False
mining-team	SET	False
misc-bucket-data-science	NOT SET	False
mswa	SET	False
mswa-csat	SET	False
mswa-csat-thinkfield	SET	False
mswa-rfds	NOT SET	False
mswa-staff	NOT SET	False
opencorp-interviews	NOT SET	False
royhill-employee	SET	False
stateplus	NOT SET	False
stateplusrecordings	SET	False
synergy-focusgroups	SET	False
synergy-segmentation	NOT SET	False
test-bucket-03-06-2	SET	False
test-library.coredataexchange.com.au	SET	True
test-training-bucket-2	SET	False
test.coredataexchange.com.au	SET	True
test.coredataresearch.com	SET	True
testbucket3returnofthebucket	SET	False
testnm	NOT SET	False
thinkfield	SET	False
wa-bucket-lt	NOT SET	False
wa-capricorn	NOT SET	False
wa-capricorn-analytics-data	SET	False
wa-super	NOT SET	False
weleda2021	SET	False
www.anubisdata.com	SET	True
www.coredata.com.au	SET	True
www.coredataresearch.co.uk	SET	True
www.coredataresearch.com	SET	True
