BucketName	BlockPublicAcls	IgnorePublicAcls	BlockPublicPolicy	RestrictPublicBuckets
adviser.db.credential.files	True	True	True	True
advisor.db.export	True	True	True	True
afg-brand	True	True	True	True
aicd	True	True	True	True
aicd-events	True	True	True	True
anubis.export	True	True	True	True
anubisdbbackup	True	True	True	True
apm-disability-index	True	True	True	True
apm-em	ERROR	ERROR	ERROR	ERROR
assets-coredata.retool.com	False	False	False	False
assets.coredataexchange.com.au	False	False	False	False
assets.coredataresearch.com	False	False	False	False
aws-logs-530470303341-ap-southeast-2	ERROR	ERROR	ERROR	ERROR
cbus-focusgroups	True	True	True	True
cfs.coredataresearch.com.au	True	True	True	True
challenger-focus-groups	ERROR	ERROR	ERROR	ERROR
city-of-perth	True	True	True	True
conexus-financial	True	True	True	True
coredata-boston-terraform-state-stage	True	True	True	True
coredata-london-terraform-state-stage	True	True	True	True
coredata-ness-database	ERROR	ERROR	ERROR	ERROR
coredata-rds-and-aurora-final-snapshots	True	True	True	True
coredata-scraping	False	False	False	False
coredata-sydney-terraform-state-stage	True	True	True	True
coredata-transcription	ERROR	ERROR	ERROR	ERROR
coredataexchange.com	False	False	False	False
coredataexchange.com.au	True	True	True	True
dataintegritysynergy	True	True	True	True
devops-coredataresearch	True	True	True	True
elasticbeanstalk-ap-southeast-2-530470303341	ERROR	ERROR	ERROR	ERROR
equipsuper	True	True	True	True
etl-awsglue	True	True	True	True
fair-go-finance	ERROR	ERROR	ERROR	ERROR
fidelity-focusgroup	True	True	True	True
hb-database	True	True	True	True
hesta-pension-research-focus-group	ERROR	ERROR	ERROR	ERROR
hif	True	True	True	True
horizon-power	True	True	True	True
horizon-power-ll	True	True	True	True
ingeus	True	True	True	True
juniper-cx	True	True	True	True
keystart	True	True	True	True
library.coredataexchange.com.au	False	False	False	False
mahlab	True	True	True	True
mark-brackenrig-files	ERROR	ERROR	ERROR	ERROR
mine-super-transfer	ERROR	ERROR	ERROR	ERROR
mining-team	True	True	True	True
misc-bucket-data-science	ERROR	ERROR	ERROR	ERROR
mswa	False	False	False	False
mswa-csat	True	True	True	True
mswa-csat-thinkfield	True	True	True	True
mswa-rfds	ERROR	ERROR	ERROR	ERROR
mswa-staff	ERROR	ERROR	ERROR	ERROR
opencorp-interviews	ERROR	ERROR	ERROR	ERROR
royhill-employee	True	True	True	True
stateplus	ERROR	ERROR	ERROR	ERROR
stateplusrecordings	True	True	True	True
synergy-focusgroups	True	True	True	True
synergy-segmentation	ERROR	ERROR	ERROR	ERROR
test-bucket-03-06-2	True	True	True	True
test-library.coredataexchange.com.au	False	False	False	False
test-training-bucket-2	True	True	True	True
test.coredataexchange.com.au	False	False	False	False
test.coredataresearch.com	True	True	True	True
testbucket3returnofthebucket	False	False	False	False
testnm	ERROR	ERROR	ERROR	ERROR
thinkfield	True	True	True	True
wa-bucket-lt	ERROR	ERROR	ERROR	ERROR
wa-capricorn	ERROR	ERROR	ERROR	ERROR
wa-capricorn-analytics-data	False	False	False	False
wa-super	ERROR	ERROR	ERROR	ERROR
weleda2021	True	True	True	True
www.anubisdata.com	True	False	False	False
www.coredata.com.au	True	False	False	False
www.coredataresearch.co.uk	False	False	False	False
www.coredataresearch.com	False	False	False	False
